Actual_Day_1,Pred_Day_1,Actual_Day_2,Pred_Day_2,Actual_Day_3,Pred_Day_3,Actual_Day_4,Pred_Day_4,Actual_Day_5,Pred_Day_5,Actual_Day_6,Pred_Day_6,Actual_Day_7,Pred_Day_7
4321.0,11767.61,3368.0,13013.19,9734.0,11702.93,725.0,11886.1,16181.0,11906.98,77543.0,12267.97,4117.0,12306.98
3368.0,11736.41,9734.0,12999.03,725.0,11632.69,16181.0,11796.5,77543.0,11799.74,4117.0,12231.23,2778.0,12253.13
9734.0,11681.44,725.0,12953.2,16181.0,11552.9,77543.0,11711.64,4117.0,11709.77,2778.0,12215.41,1639.0,12224.54
725.0,11566.45,16181.0,12815.22,77543.0,11494.33,4117.0,11706.95,2778.0,11764.3,1639.0,12296.07,4964.0,12319.5
16181.0,11552.45,77543.0,12791.79,4117.0,11472.84,2778.0,11692.34,1639.0,11738.19,4964.0,12280.32,5150.0,12302.93
77543.0,11487.24,4117.0,12758.35,2778.0,11450.26,1639.0,11672.84,4964.0,11798.69,5150.0,12399.03,3018.0,12421.42
4117.0,11148.81,2778.0,12620.37,1639.0,11434.78,4964.0,11673.12,5150.0,12316.29,3018.0,13185.41,26728.0,13217.86
2778.0,11168.35,1639.0,12467.02,4964.0,11617.34,5150.0,12009.8,3018.0,12660.45,26728.0,13225.19,4986.0,13349.22
1639.0,11411.57,4964.0,12608.96,5150.0,11903.57,3018.0,12322.7,26728.0,12874.21,4986.0,13098.02,1210.0,13276.36
4964.0,11704.58,5150.0,12874.13,3018.0,12108.0,26728.0,12474.72,4986.0,12868.83,1210.0,12887.32,5959.0,13068.76
5150.0,11924.9,3018.0,13123.77,26728.0,12187.68,4986.0,12466.46,1210.0,12719.93,5959.0,12689.03,43252.0,12840.01
3018.0,12036.02,26728.0,13282.02,4986.0,12160.76,1210.0,12354.9,5959.0,12501.78,43252.0,12525.74,5243.0,12634.64
26728.0,12056.9,4986.0,13345.44,1210.0,12058.62,5959.0,12185.36,43252.0,12248.1,5243.0,12384.1,30590.0,12449.59
4986.0,11911.36,1210.0,13293.48,5959.0,11898.62,43252.0,11984.51,5243.0,12142.13,30590.0,12507.96,37994.0,12537.16
1210.0,11793.51,5959.0,13158.09,43252.0,11772.52,5243.0,11889.63,30590.0,12050.94,37994.0,12508.66,3165.0,12532.03
5959.0,11729.5,43252.0,13043.9,5243.0,11707.24,30590.0,11866.15,37994.0,11994.62,3165.0,12448.11,26706.0,12478.92
43252.0,11559.28,5243.0,12755.51,30590.0,11639.49,37994.0,11934.08,3165.0,12091.46,26706.0,12465.4,9692.0,12543.16
5243.0,11486.09,30590.0,12798.66,37994.0,11660.13,3165.0,11918.27,26706.0,12274.02,9692.0,12767.36,39367.0,12837.01
3864.0,11756.66,9835.0,12969.73,8855.0,11905.44,1979.0,12176.58,60680.0,12374.99,5855.0,12567.16,49122.0,12672.96
9835.0,11842.41,8855.0,13071.07,1979.0,11912.13,60680.0,12135.41,5855.0,12255.41,49122.0,12446.76,8924.0,12532.36
8855.0,11851.62,1979.0,13126.86,60680.0,11852.23,5855.0,12022.65,49122.0,12115.18,8924.0,12397.18,75916.0,12452.89
1979.0,11803.66,60680.0,13081.23,5855.0,11796.84,49122.0,11972.44,8924.0,12070.54,75916.0,12398.73,6760.0,12448.86
60680.0,11778.22,5855.0,13056.61,49122.0,11728.05,8924.0,11893.86,75916.0,11956.33,6760.0,12339.12,5167.0,12375.08
5855.0,11473.69,49122.0,12928.61,8924.0,11608.1,75916.0,11762.2,6760.0,12197.9,5167.0,12893.73,4167.0,12913.96
49122.0,11401.24,8924.0,12744.43,75916.0,11647.1,6760.0,11923.94,5167.0,12392.11,4167.0,12963.22,3011.0,13038.16
8924.0,11355.18,75916.0,12670.58,6760.0,11811.15,5167.0,12163.57,4167.0,12801.32,3011.0,13219.09,77097.0,13355.33
75916.0,11553.01,6760.0,12787.25,5167.0,12030.46,4167.0,12403.29,3011.0,12954.37,77097.0,13118.82,7776.0,13295.76
6760.0,11619.86,5167.0,12977.1,4167.0,12192.94,3011.0,12500.67,77097.0,13226.8,7776.0,13404.94,15522.0,13580.85
5167.0,11807.87,4167.0,13098.59,3011.0,12328.26,77097.0,12634.56,7776.0,13228.7,15522.0,13243.97,4391.0,13436.63
4167.0,11996.8,3011.0,13265.62,77097.0,12407.59,7776.0,12669.92,15522.0,13113.76,4391.0,13032.59,4749.0,13214.17
3011.0,12131.47,77097.0,13407.39,7776.0,12406.69,15522.0,12608.32,4391.0,12909.61,4749.0,12817.0,6591.0,12968.41
77097.0,12195.64,7776.0,13497.79,15522.0,12331.64,4391.0,12467.25,4749.0,12647.26,6591.0,12618.65,3429.0,12728.57
7776.0,11871.86,15522.0,13404.1,4391.0,12136.96,4749.0,12213.34,6591.0,12759.7,3429.0,13142.88,49059.0,13206.05
15522.0,11820.55,4391.0,13209.39,4749.0,12154.69,6591.0,12359.23,3429.0,12870.32,49059.0,13109.62,936.0,13225.79
4391.0,11864.34,4749.0,13208.05,6591.0,12191.31,3429.0,12413.06,49059.0,12871.08,936.0,13028.94,3084.0,13158.37
4749.0,11963.16,6591.0,13250.53,3429.0,12235.02,49059.0,12459.72,936.0,12799.66,3084.0,12848.59,5630.0,12984.05
6591.0,12042.28,3429.0,13331.15,49059.0,12213.16,936.0,12394.48,3084.0,12625.16,5630.0,12675.17,2226.0,12787.47
3429.0,12010.06,49059.0,13248.5,936.0,12191.13,3084.0,12410.56,5630.0,12609.91,2226.0,12611.07,937.0,12736.21
49059.0,12061.82,936.0,13337.12,3084.0,12121.09,5630.0,12273.74,2226.0,12380.57,937.0,12461.73,3930.0,12547.24
936.0,11845.72,3084.0,13281.7,5630.0,11953.06,2226.0,12052.07,937.0,12380.71,3930.0,12777.48,47179.0,12821.72
3084.0,11757.59,5630.0,13125.02,2226.0,11878.27,937.0,12045.66,3930.0,12352.5,47179.0,12752.5,5749.0,12811.62
5630.0,11758.47,2226.0,13069.33,937.0,11874.32,3930.0,12074.17,47179.0,12325.6,5749.0,12662.08,7345.0,12733.74
2226.0,11688.76,937.0,12898.26,3930.0,11858.24,47179.0,12148.5,5749.0,12375.02,7345.0,12602.48,6443.0,12709.98
