amount,lag_1,lag_2,lag_3,rolling_mean_3,year,month,day,weekday,user_transaction_count
5394.0,27587.0,679.0,4178.0,10814.666666666666,2021,10,6,2,3
9376.0,5394.0,27587.0,679.0,11220.0,2021,10,8,4,4
9484.0,9376.0,5394.0,27587.0,14119.0,2021,10,26,1,5
5385.0,9484.0,9376.0,5394.0,8084.666666666667,2021,12,22,2,6
5881.0,5385.0,9484.0,9376.0,8081.666666666667,2022,2,12,5,7
3404.0,5881.0,5385.0,9484.0,6916.666666666667,2022,2,26,5,8
7698.0,3404.0,5881.0,5385.0,4890.0,2022,5,18,2,9
459.0,7698.0,3404.0,5881.0,5661.0,2022,5,25,2,10
17529.0,459.0,7698.0,3404.0,3853.6666666666665,2022,7,12,1,11
7554.0,17529.0,459.0,7698.0,8562.0,2022,8,15,0,12
9440.0,7554.0,17529.0,459.0,8514.0,2022,10,8,5,13
3926.0,9440.0,7554.0,17529.0,11507.666666666666,2022,10,22,5,14
8348.0,3926.0,9440.0,7554.0,6973.333333333333,2023,1,11,2,15
3885.0,8348.0,3926.0,9440.0,7238.0,2023,2,8,2,16
8735.0,3885.0,8348.0,3926.0,5386.333333333333,2023,2,16,3,17
7959.0,8735.0,3885.0,8348.0,6989.333333333333,2023,2,21,1,18
3076.0,7959.0,8735.0,3885.0,6859.666666666667,2023,2,22,2,19
73568.0,3076.0,7959.0,8735.0,6590.0,2023,2,26,6,20
42053.0,73568.0,3076.0,7959.0,28201.0,2023,3,7,1,21
69892.0,42053.0,73568.0,3076.0,39565.666666666664,2023,4,6,3,22
1575.0,69892.0,42053.0,73568.0,61837.666666666664,2023,5,25,3,23
262.0,1575.0,69892.0,42053.0,37840.0,2023,6,25,6,24
882.0,262.0,1575.0,69892.0,23909.666666666668,2023,7,12,2,25
7321.0,882.0,262.0,1575.0,906.3333333333334,2023,8,24,3,26
4839.0,7321.0,882.0,262.0,2821.6666666666665,2023,11,10,4,27
34793.0,4839.0,7321.0,882.0,4347.333333333333,2023,11,13,0,28
2100.0,34793.0,4839.0,7321.0,15651.0,2023,12,2,5,29
4103.0,2100.0,34793.0,4839.0,13910.666666666666,2024,2,1,3,30
49068.0,4103.0,2100.0,34793.0,13665.333333333334,2024,2,11,6,31
3907.0,49068.0,4103.0,2100.0,18423.666666666668,2024,4,11,3,32
8174.0,3907.0,49068.0,4103.0,19026.0,2024,5,24,4,33
1413.0,8174.0,3907.0,49068.0,20383.0,2024,5,25,5,34
25294.0,1413.0,8174.0,3907.0,4498.0,2024,7,15,0,35
6258.0,25294.0,1413.0,8174.0,11627.0,2024,11,20,2,36
36001.0,6258.0,25294.0,1413.0,10988.333333333334,2024,11,22,4,37
8193.0,1012.0,32675.0,6785.0,13490.666666666666,2021,11,29,0,3
56818.0,8193.0,1012.0,32675.0,13960.0,2021,12,14,1,4
71558.0,56818.0,8193.0,1012.0,22007.666666666668,2021,12,22,2,5
4750.0,71558.0,56818.0,8193.0,45523.0,2022,1,12,2,6
5654.0,4750.0,71558.0,56818.0,44375.333333333336,2022,1,31,0,7
1735.0,5654.0,4750.0,71558.0,27320.666666666668,2022,2,28,0,8
8005.0,1735.0,5654.0,4750.0,4046.3333333333335,2022,5,21,5,9
9771.0,8005.0,1735.0,5654.0,5131.333333333333,2022,6,18,5,10
13927.0,9771.0,8005.0,1735.0,6503.666666666667,2022,7,22,4,11
9892.0,13927.0,9771.0,8005.0,10567.666666666666,2022,11,17,3,12
4312.0,9892.0,13927.0,9771.0,11196.666666666666,2022,11,23,2,13
5150.0,4312.0,9892.0,13927.0,9377.0,2022,12,8,3,14
5292.0,5150.0,4312.0,9892.0,6451.333333333333,2022,12,21,2,15
4359.0,5292.0,5150.0,4312.0,4918.0,2023,5,8,0,16
46947.0,4359.0,5292.0,5150.0,4933.666666666667,2023,8,11,4,17
3203.0,46947.0,4359.0,5292.0,18866.0,2023,11,6,0,18
676.0,3203.0,46947.0,4359.0,18169.666666666668,2024,2,27,1,19
1443.0,676.0,3203.0,46947.0,16942.0,2024,4,30,1,20
18922.0,1443.0,676.0,3203.0,1774.0,2024,6,21,4,21
3150.0,18922.0,1443.0,676.0,7013.666666666667,2024,6,28,4,22
5919.0,3150.0,18922.0,1443.0,7838.333333333333,2024,9,8,6,23
9538.0,5919.0,3150.0,18922.0,9330.333333333334,2024,9,12,3,24
2324.0,9538.0,5919.0,3150.0,6202.333333333333,2024,9,21,5,25
7550.0,2324.0,9538.0,5919.0,5927.0,2024,9,21,5,26
11162.0,169.0,8374.0,3829.0,4124.0,2022,2,6,6,3
5996.0,11162.0,169.0,8374.0,6568.333333333333,2022,3,22,1,4
9508.0,5996.0,11162.0,169.0,5775.666666666667,2022,4,4,0,5
8157.0,9508.0,5996.0,11162.0,8888.666666666666,2022,4,14,3,6
1258.0,8157.0,9508.0,5996.0,7887.0,2022,6,14,1,7
2121.0,1258.0,8157.0,9508.0,6307.666666666667,2022,10,14,4,8
3946.0,2121.0,1258.0,8157.0,3845.3333333333335,2022,12,18,6,9
7824.0,3946.0,2121.0,1258.0,2441.6666666666665,2023,1,2,0,10
1550.0,7824.0,3946.0,2121.0,4630.333333333333,2023,1,9,0,11
1986.0,1550.0,7824.0,3946.0,4440.0,2023,1,20,4,12
9361.0,1986.0,1550.0,7824.0,3786.6666666666665,2023,3,9,3,13
7880.0,9361.0,1986.0,1550.0,4299.0,2023,3,20,0,14
1974.0,7880.0,9361.0,1986.0,6409.0,2023,3,21,1,15
