transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,lag_1,lag_2,lag_3,rolling_mean_3,user_transaction_count,target
T4132,U001,2021-10-06,Expense,Utilities,5394.0,Upi,Unknown,...,2021,10,6,2,27587.0,679.0,4178.0,10814.666666666666,3,9376.0
T12736,U001,2021-10-08,Expense,Education,9376.0,Upi,Mumbai,asdfgh,2021,10,8,4,5394.0,27587.0,679.0,11220.0,4,9484.0
T4454,U001,2021-10-26,Expense,Entertainment,9484.0,Cash,Mumbai,No Notes,2021,10,26,1,9376.0,5394.0,27587.0,14119.0,5,5385.0
T8055,U001,2021-12-22,Expense,Entertainment,5385.0,Upi,Lucknow,Online course,2021,12,22,2,9484.0,9376.0,5394.0,8084.666666666667,6,5881.0
T3254,U001,2022-02-12,Expense,Education,5881.0,Upi,Bangalore,asdfgh,2022,2,12,5,5385.0,9484.0,9376.0,8081.666666666667,7,3404.0
T3594,U001,2022-02-26,Expense,Food,3404.0,Bank_Transfer,Hyderabad,No Notes,2022,2,26,5,5881.0,5385.0,9484.0,6916.666666666667,8,7698.0
T3923,U001,2022-05-18,Expense,Travel,7698.0,Upi,Jaipur,No Notes,2022,5,18,2,3404.0,5881.0,5385.0,4890.0,9,459.0
T0913,U001,2022-05-25,Expense,Travel,459.0,Upi,Delhi,Movie tickets,2022,5,25,2,7698.0,3404.0,5881.0,5661.0,10,17529.0
T4149,U001,2022-07-12,Expense,Rent,17529.0,Cash,Ahmedabad,Shopping,2022,7,12,1,459.0,7698.0,3404.0,3853.6666666666665,11,7554.0
T2408,U001,2022-08-15,Expense,Education,7554.0,Bank_Transfer,Jaipur,Uber ride,2022,8,15,0,17529.0,459.0,7698.0,8562.0,12,9440.0
T2682,U001,2022-10-08,Expense,Others,9440.0,Card,Pune,Grocery shopping,2022,10,8,5,7554.0,17529.0,459.0,8514.0,13,3926.0
T0464,U001,2022-10-22,Expense,Rent,3926.0,Cash,Ahmedabad,Movie tickets,2022,10,22,5,9440.0,7554.0,17529.0,11507.666666666666,14,8348.0
T1167,U001,2023-01-11,Expense,Entertainment,8348.0,Cash,Kolkata,Electricity bill,2023,1,11,2,3926.0,9440.0,7554.0,6973.333333333333,15,3885.0
T6890,U001,2023-02-08,Expense,Food,3885.0,Bank_Transfer,Kolkata,No Notes,2023,2,8,2,8348.0,3926.0,9440.0,7238.0,16,8735.0
T10256,U001,2023-02-16,Expense,Others,8735.0,Upi,Pune,No Notes,2023,2,16,3,3885.0,8348.0,3926.0,5386.333333333333,17,7959.0
T9718,U001,2023-02-21,Expense,Food,7959.0,Cash,Delhi,No Notes,2023,2,21,1,8735.0,3885.0,8348.0,6989.333333333333,18,3076.0
T3331,U001,2023-02-22,Expense,Entertainment,3076.0,Card,Delhi,Monthly rent payment,2023,2,22,2,7959.0,8735.0,3885.0,6859.666666666667,19,73568.0
T2593,U001,2023-02-26,Income,Investment,73568.0,Upi,Bangalore,test,2023,2,26,6,3076.0,7959.0,8735.0,6590.0,20,42053.0
T1029,U001,2023-03-07,Income,Others,42053.0,Bank_Transfer,Pune,EMI payment,2023,3,7,1,73568.0,3076.0,7959.0,28201.0,21,69892.0
T12982,U001,2023-04-06,Income,Salary,69892.0,Bank_Transfer,Unknown,Grocery shopping,2023,4,6,3,42053.0,73568.0,3076.0,39565.666666666664,22,1575.0
T10138,U001,2023-05-25,Expense,Food,1575.0,Upi,Lucknow,No Notes,2023,5,25,3,69892.0,42053.0,73568.0,61837.666666666664,23,262.0
T9441,U001,2023-06-25,Expense,Entertainment,262.0,Cash,Kolkata,Shopping,2023,6,25,6,1575.0,69892.0,42053.0,37840.0,24,882.0
T1521,U001,2023-07-12,Expense,Others,882.0,Upi,Delhi,Monthly rent payment,2023,7,12,2,262.0,1575.0,69892.0,23909.666666666668,25,7321.0
T9445,U001,2023-08-24,Expense,Food,7321.0,Unknown,Hyderabad,EMI payment,2023,8,24,3,882.0,262.0,1575.0,906.3333333333334,26,4839.0
T12363,U001,2023-11-10,Expense,Food,4839.0,Cash,Mumbai,EMI payment,2023,11,10,4,7321.0,882.0,262.0,2821.6666666666665,27,34793.0
T2346,U001,2023-11-13,Expense,Rent,34793.0,Upi,Kolkata,Online course,2023,11,13,0,4839.0,7321.0,882.0,4347.333333333333,28,2100.0
T12373,U001,2023-12-02,Expense,Rent,2100.0,Unknown,Pune,Gym membership,2023,12,2,5,34793.0,4839.0,7321.0,15651.0,29,4103.0
T12046,U001,2024-02-01,Expense,Food,4103.0,Unknown,Bangalore,No Notes,2024,2,1,3,2100.0,34793.0,4839.0,13910.666666666666,30,49068.0
T2770,U001,2024-02-11,Income,Salary,49068.0,Cash,Mumbai,Lunch,2024,2,11,6,4103.0,2100.0,34793.0,13665.333333333334,31,3907.0
T8946,U001,2024-04-11,Expense,Food,3907.0,Card,Hyderabad,ATM withdrawal,2024,4,11,3,49068.0,4103.0,2100.0,18423.666666666668,32,8174.0
T5921,U001,2024-05-24,Expense,Travel,8174.0,Cash,Ahmedabad,EMI payment,2024,5,24,4,3907.0,49068.0,4103.0,19026.0,33,1413.0
T1410,U001,2024-05-25,Expense,Food,1413.0,Card,Jaipur,!!!,2024,5,25,5,8174.0,3907.0,49068.0,20383.0,34,25294.0
T1909,U001,2024-07-15,Income,Freelance,25294.0,Cash,Chennai,Coffee,2024,7,15,0,1413.0,8174.0,3907.0,4498.0,35,6258.0
T0426,U001,2024-11-20,Expense,Rent,6258.0,Upi,Unknown,Restaurant dinner,2024,11,20,2,25294.0,1413.0,8174.0,11627.0,36,36001.0
T7689,U001,2024-11-22,Expense,Rent,36001.0,Card,Kolkata,Coffee,2024,11,22,4,6258.0,25294.0,1413.0,10988.333333333334,37,252.0
T3893,U002,2021-11-29,Expense,Health,8193.0,Bank_Transfer,Bangalore,xyz123,2021,11,29,0,1012.0,32675.0,6785.0,13490.666666666666,3,56818.0
T12250,U002,2021-12-14,Income,Investment,56818.0,Bank_Transfer,Hyderabad,EMI payment,2021,12,14,1,8193.0,1012.0,32675.0,13960.0,4,71558.0
T4684,U002,2021-12-22,Income,Investment,71558.0,Upi,Chennai,ATM withdrawal,2021,12,22,2,56818.0,8193.0,1012.0,22007.666666666668,5,4750.0
