Actual_Day_1,Pred_Day_1,Actual_Day_2,Pred_Day_2,Actual_Day_3,Pred_Day_3,Actual_Day_4,Pred_Day_4,Actual_Day_5,Pred_Day_5,Actual_Day_6,Pred_Day_6,Actual_Day_7,Pred_Day_7
4321.0,12137.87,3368.0,12246.42,9734.0,11507.81,725.0,12185.15,16181.0,11812.02,77543.0,10791.76,4117.0,11764.14
3368.0,12265.14,9734.0,12220.76,725.0,11419.14,16181.0,12121.63,77543.0,11893.21,4117.0,10767.61,2778.0,11654.76
9734.0,12224.14,725.0,12122.78,16181.0,11342.03,77543.0,12197.22,4117.0,11938.5,2778.0,10645.26,1639.0,11622.34
725.0,12174.41,16181.0,12120.77,77543.0,11450.16,4117.0,12179.01,2778.0,11847.91,1639.0,10742.32,4964.0,11761.68
16181.0,12127.88,77543.0,12177.35,4117.0,11397.46,2778.0,12153.85,1639.0,11881.58,4964.0,10676.16,5150.0,11700.42
77543.0,12167.64,4117.0,12133.04,2778.0,11470.74,1639.0,12138.52,4964.0,11831.6,5150.0,10855.22,3018.0,11827.38
4117.0,12087.3,2778.0,12105.1,1639.0,11867.24,4964.0,11866.62,5150.0,12024.67,3018.0,11741.83,26728.0,12250.84
2778.0,12154.52,1639.0,12480.94,4964.0,11351.63,5150.0,12326.88,3018.0,12848.36,26728.0,11451.02,4986.0,12136.79
1639.0,12657.16,4964.0,11972.59,5150.0,11804.19,3018.0,13000.91,26728.0,12358.47,4986.0,11635.82,1210.0,12865.64
4964.0,12249.49,5150.0,12136.12,3018.0,12296.28,26728.0,12307.64,4986.0,12219.36,1210.0,11707.16,5959.0,12368.85
5150.0,12225.35,3018.0,12706.72,26728.0,11501.3,4986.0,12245.75,1210.0,12385.64,5959.0,11348.06,43252.0,11773.19
3018.0,12839.7,26728.0,12135.39,4986.0,11563.18,1210.0,12627.94,5959.0,12419.09,43252.0,11201.56,5243.0,11953.77
26728.0,12291.48,4986.0,11999.46,1210.0,11754.63,5959.0,12498.61,43252.0,12028.68,5243.0,10877.71,30590.0,11941.82
4986.0,12044.38,1210.0,12331.16,5959.0,11693.49,43252.0,12048.62,5243.0,11658.84,30590.0,11086.75,37994.0,11916.64
1210.0,12325.56,5959.0,12358.96,43252.0,11352.45,5243.0,12059.17,30590.0,12122.26,37994.0,10964.69,3165.0,11692.45
5959.0,12393.31,43252.0,12017.38,5243.0,11341.18,30590.0,12433.21,37994.0,12089.96,3165.0,10822.24,26706.0,11875.05
43252.0,12212.15,5243.0,12088.0,30590.0,11694.93,37994.0,12218.25,3165.0,11943.91,26706.0,11003.75,9692.0,11940.14
5243.0,12085.38,30590.0,12285.22,37994.0,11678.16,3165.0,12007.37,26706.0,12027.3,9692.0,11374.96,39367.0,11983.41
3864.0,12253.38,9835.0,12134.65,8855.0,11913.34,1979.0,12329.26,60680.0,11999.77,5855.0,11270.94,49122.0,12151.8
9835.0,12210.7,8855.0,12450.9,1979.0,11537.72,60680.0,12152.97,5855.0,12120.33,49122.0,11091.28,8924.0,11745.8
8855.0,12494.5,1979.0,12182.26,60680.0,11445.27,5855.0,12365.19,49122.0,12172.44,8924.0,11000.71,75916.0,11801.63
1979.0,12299.1,60680.0,12067.93,5855.0,11613.31,49122.0,12346.08,8924.0,12052.41,75916.0,10926.66,6760.0,11897.88
60680.0,12120.2,5855.0,12241.81,49122.0,11501.98,8924.0,12233.88,75916.0,11862.2,6760.0,10812.13,5167.0,11821.28
5855.0,12222.33,49122.0,12143.09,8924.0,11816.1,75916.0,11952.38,6760.0,11857.48,5167.0,11550.03,4167.0,12166.72
49122.0,12170.9,8924.0,12390.37,75916.0,11365.32,6760.0,12171.92,5167.0,12634.71,4167.0,11258.8,3011.0,11886.03
8924.0,12505.02,75916.0,12014.79,6760.0,11851.78,5167.0,12643.37,4167.0,12292.06,3011.0,11916.51,77097.0,12819.83
75916.0,12258.75,6760.0,12245.82,5167.0,12113.56,4167.0,12333.69,3011.0,12673.69,77097.0,11932.88,7776.0,12489.53
6760.0,12318.65,5167.0,12416.98,4167.0,12090.13,3011.0,12422.37,77097.0,12524.03,7776.0,12556.74,15522.0,12909.95
5167.0,12681.53,4167.0,12437.68,3011.0,11991.08,77097.0,12634.75,7776.0,13296.51,15522.0,12333.8,4391.0,12634.82
4167.0,12733.63,3011.0,12207.29,77097.0,12023.02,7776.0,13202.13,15522.0,12782.96,4391.0,12072.28,4749.0,12969.87
3011.0,12584.86,77097.0,12240.25,7776.0,12438.48,15522.0,12582.84,4391.0,12399.48,4749.0,12060.84,6591.0,12570.67
77097.0,12435.21,7776.0,12666.68,15522.0,11726.66,4391.0,12381.32,4749.0,12483.38,6591.0,11530.33,3429.0,11898.77
7776.0,12735.99,15522.0,12114.78,4391.0,12004.21,4749.0,12358.94,6591.0,12332.14,3429.0,12105.32,49059.0,12398.01
15522.0,12372.85,4391.0,12395.64,4749.0,11720.24,6591.0,12448.2,3429.0,12914.73,49059.0,11641.32,936.0,12197.6
4391.0,12547.67,4749.0,12149.97,6591.0,11793.15,3429.0,12901.25,49059.0,12212.55,936.0,11697.44,3084.0,12785.28
4749.0,12479.01,6591.0,12204.27,3429.0,12247.98,49059.0,12251.86,936.0,12295.11,3084.0,11854.13,5630.0,12382.16
6591.0,12300.13,3429.0,12565.44,49059.0,11469.53,936.0,12340.66,3084.0,12495.45,5630.0,11383.69,2226.0,11830.18
3429.0,12827.93,49059.0,12166.37,936.0,11672.39,3084.0,12620.38,5630.0,12467.43,2226.0,11397.05,937.0,12073.8
49059.0,12348.22,936.0,12072.94,3084.0,11786.85,5630.0,12525.88,2226.0,12194.07,937.0,11049.99,3930.0,11988.86
936.0,12121.21,3084.0,12289.04,5630.0,11870.72,2226.0,12094.56,937.0,11795.93,3930.0,11479.43,47179.0,12154.25
3084.0,12341.28,5630.0,12457.93,2226.0,11421.39,937.0,12158.89,3930.0,12425.08,47179.0,11201.56,5749.0,11844.08
5630.0,12522.12,2226.0,11999.7,937.0,11475.4,3930.0,12664.98,47179.0,12154.71,5749.0,11094.45,7345.0,12202.0
2226.0,12266.72,937.0,12102.68,3930.0,11937.45,47179.0,12207.34,5749.0,12037.68,7345.0,11287.24,6443.0,12072.82
937.0,12153.99,3930.0,12480.71,47179.0,11400.52,5749.0,12191.1,7345.0,12185.17,6443.0,11001.46,24475.0,11682.52
3930.0,12571.92,47179.0,12132.17,5749.0,11455.82,7345.0,12460.63,6443.0,12147.27,24475.0,10925.34,2653.0,11843.71
47179.0,12226.67,5749.0,12028.1,7345.0,11637.31,6443.0,12323.94,24475.0,11912.42,2653.0,10771.33,3412.0,11822.89
5749.0,12010.02,7345.0,12251.78,6443.0,11702.87,24475.0,11940.08,2653.0,11733.83,3412.0,11239.88,5192.0,11961.02
7345.0,12256.72,6443.0,12397.31,24475.0,11322.28,2653.0,12123.58,3412.0,12371.2,5192.0,11095.01,1449.0,11815.43
6443.0,12453.12,24475.0,11969.08,2653.0,11512.47,3412.0,12624.63,5192.0,12159.24,1449.0,11128.7,20997.0,12271.18
24475.0,12188.66,2653.0,12117.51,3412.0,11929.51,5192.0,12221.68,1449.0,12060.78,20997.0,11319.68,4264.0,12145.94
2653.0,12150.43,3412.0,12455.58,5192.0,11588.44,1449.0,12136.83,20997.0,12209.16,4264.0,11378.02,980.0,11943.33
3412.0,12549.56,5192.0,12235.09,1449.0,11495.07,20997.0,12478.11,4264.0,12471.91,980.0,11221.75,5145.0,11986.77
5192.0,12381.85,1449.0,12024.04,20997.0,11729.61,4264.0,12593.71,980.0,12123.66,5145.0,11091.29,4266.0,12169.52
1449.0,12136.99,20997.0,12266.05,4264.0,11753.52,980.0,12194.7,5145.0,11871.98,4266.0,11068.16,1624.0,11929.31
20997.0,12294.26,4264.0,12379.98,980.0,11402.24,5145.0,12153.86,4266.0,12023.46,1624.0,10894.13,4460.0,11666.04
4264.0,12393.2,980.0,12051.0,5145.0,11497.68,4266.0,12257.56,1624.0,12018.81,4460.0,10980.84,8287.0,11831.23
980.0,12168.42,5145.0,12187.89,4266.0,11501.7,1624.0,12223.41,4460.0,12097.08,8287.0,10889.13,46499.0,11812.94
5145.0,12228.66,4266.0,12195.12,1624.0,11443.5,4460.0,12335.04,8287.0,11915.11,46499.0,10840.56,7414.0,11905.96
4266.0,12258.18,1624.0,12121.91,4460.0,11600.54,8287.0,12170.67,46499.0,11893.92,7414.0,10912.24,2250.0,11838.52
1624.0,12138.61,4460.0,12251.23,8287.0,11391.15,46499.0,12138.88,7414.0,11987.29,2250.0,10782.85,28555.0,11651.72
4460.0,12304.66,8287.0,12169.6,46499.0,11380.63,7414.0,12273.63,2250.0,11981.09,28555.0,10754.87,14825.0,11738.59
8287.0,12207.78,46499.0,12071.44,7414.0,11503.73,2250.0,12241.26,28555.0,11876.25,14825.0,10723.99,59288.0,11774.58
46499.0,12079.58,7414.0,12203.6,2250.0,11456.7,28555.0,12105.78,14825.0,11809.83,59288.0,10743.67,2721.0,11715.45
7414.0,12163.74,2250.0,12163.14,28555.0,11620.39,14825.0,11985.33,59288.0,11913.04,2721.0,11268.77,3790.0,11991.0
2250.0,12179.33,28555.0,12273.89,14825.0,11389.94,59288.0,12228.91,2721.0,12421.72,3790.0,11128.38,1743.0,11937.66
28555.0,12390.87,14825.0,12080.42,59288.0,11592.93,2721.0,12622.58,3790.0,12162.16,1743.0,11207.11,77481.0,12347.48
14825.0,12219.07,59288.0,12099.34,2721.0,12068.29,3790.0,12174.28,1743.0,12061.75,77481.0,11617.67,543.0,12305.62
