transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,Educaton,3888.0,card,Ahmedabad,Movie tickets
T12828,U133,08/05/2022,Expense,rent,649.0,,Hyderabad,asdfgh
T7403,U091,31-12-23,Income,Freelance,13239.0,Csh,BAN,Books
T7495,U088,10/28/2022,Expense,entertainment,2287.0,CARD,Hyderabad,No Notes
T12465,U042,04/11/2024,Expense,Foods,4168.0,,Unknown,test
T4518,U026,08/16/2022,Expense,education,828.0,Crd,Lucknow,Uber ride
T9824,U061,2024-12-12,Income,Salary,62061.0,CRD,AHM,...
T0741,U053,13-03-24,Expense,Utilties,5070.0,upi,KOL,Grocery shopping
T12403,U004,11/10/2023,Income,Others,59543.0,UPI,LUC,Gym membership
T6861,U112,2021-04-18,Expense,Utility,4262.0,upi,AHM,Uber ride
T9446,U006,06/29/2022,Expense,Utlities,5767.0,Bank Transfer,BANGALORE,No Notes
T3016,U099,02/24/2022,Expense,Rentt,23760.0,CRD,BANGALORE,Electricity bill
T11564,U148,08/28/2023,Expense,Food,898.0,UPI,LUC,Restaurant dinner
T11382,U111,02-06-23,Income,Freelance,25143.0,card,CHENNAI,No Notes
T3133,U024,17-07-24,Expense,rent,9567.0,bank transfer,PUNE,ATM withdrawal
T1982,U089,2021-02-27,Income,Others,49683.0,,lucknow,xyz123
T7154,U039,21-09-2024,Expense,FOOD,222.0,UPI,Bangalore,misc
T2699,U092,25-02-23,Expense,Travel,2553.0,UPi,LUC,Doctor consultation
T5774,U005,2021-02-14,Expense,food,7406.0,card,BANGALORE,xyz123
T12850,U076,06/09/2021,Expense,rent,3010.0,UPI,KOL,No Notes
T6195,U038,20-11-2024,Income,Salary,855881.0,BankTransfer,Jaipur,No Notes
T5731,U027,2023-02-04,Expense,Foods,2206.0,Bank_Transfer,Unknown,xyz123
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,card,JAI,Gym membership
T7565,U075,24-01-22,Expense,Travl,4286.0,BankTransfer,hyderabad,No Notes
T1653,U099,2024-12-16,Expense,education,8119.0,CARD,Hyderabad,Books
T6239,U150,28-12-21,Expense,education,4189.0,Card,Bangalore,Uber ride
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfr,LUCKNOW,Coffee
