transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,days_since_last_txn,year_month,monthly_total_spend,category_monthly_spend,user_txn_frequency,rolling_avg_3
T6378,U001,2021-01-08,Expense,Utilities,964.0,Bank_Transfer,Kolkata,EMI payment,2021,1,8,Friday,,2021-01,1643.0,964.0,86,964.0
T0154,U001,2021-01-26,Expense,Rent,679.0,Bank_Transfer,Pune,No Notes,2021,1,26,Tuesday,18.0,2021-01,1643.0,679.0,86,821.5
T13978,U001,2021-02-07,Expense,Travel,956.0,Card,Mumbai,Coffee,2021,2,7,Sunday,12.0,2021-02,956.0,956.0,86,866.3333333333334
T4869,U001,2021-03-02,Expense,Food,165.0,Cash,Delhi,Books,2021,3,2,Tuesday,23.0,2021-03,8599.0,8599.0,86,600.0
T12637,U001,2021-03-12,Expense,Food,8434.0,Card,Hyderabad,Medicine,2021,3,12,Friday,10.0,2021-03,8599.0,8599.0,86,3185.0
T5383,U001,2021-04-10,Expense,Food,1891.0,Cash,Mumbai,Lunch,2021,4,10,Saturday,29.0,2021-04,14432.0,1891.0,86,3496.6666666666665
T4788,U001,2021-04-17,Expense,Rent,5328.0,Bank_Transfer,Hyderabad,EMI payment,2021,4,17,Saturday,7.0,2021-04,14432.0,5328.0,86,5217.666666666667
T8036,U001,2021-04-17,Expense,Entertainment,7213.0,Card,Mumbai,Monthly rent payment,2021,4,17,Saturday,0.0,2021-04,14432.0,7213.0,86,4810.666666666667
T11236,U001,2021-05-16,Expense,Travel,8186.0,Upi,Bangalore,Grocery shopping,2021,5,16,Sunday,29.0,2021-05,8186.0,8186.0,86,6909.0
T4132,U001,2021-06-10,Expense,Utilities,5394.0,Upi,Unknown,...,2021,6,10,Thursday,25.0,2021-06,11084.0,5394.0,86,6931.0
T7904,U001,2021-06-11,Expense,Rent,3483.0,Cash,Pune,Books,2021,6,11,Friday,1.0,2021-06,11084.0,3483.0,86,5687.666666666667
T7032,U001,2021-06-14,Expense,Food,209.0,Card,Lucknow,No Notes,2021,6,14,Monday,3.0,2021-06,11084.0,209.0,86,3028.6666666666665
T8335,U001,2021-06-19,Expense,Entertainment,1998.0,Upi,Lucknow,Internet bill,2021,6,19,Saturday,5.0,2021-06,11084.0,1998.0,86,1896.6666666666667
