transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,Movie tickets
T12828,U133,2022-05-08,Expense,Rent,649.0,Unknown,Hyderabad,asdfgh
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,Bangalore,Books
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,No Notes
T12465,U042,2024-11-04,Expense,Food,4168.0,Unknown,Unknown,test
T4518,U026,2022-08-16,Expense,Education,828.0,Card,Lucknow,Uber ride
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,...
T0741,U053,2024-03-13,Expense,Utilities,5070.0,Upi,Kolkata,Grocery shopping
T12403,U004,2023-10-11,Income,Others,59543.0,Upi,Lucknow,Gym membership
T6861,U112,2021-04-18,Expense,Utilities,4262.0,Upi,Ahmedabad,Uber ride
T9446,U006,2022-06-29,Expense,Utilities,5767.0,Bank_Transfer,Bangalore,No Notes
T3016,U099,2022-02-24,Expense,Rent,23760.0,Card,Bangalore,Electricity bill
T11564,U148,2023-08-28,Expense,Food,898.0,Upi,Lucknow,Restaurant dinner
T11382,U111,2023-06-02,Income,Freelance,25143.0,Card,Chennai,No Notes
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank_Transfer,Pune,ATM withdrawal
T1982,U089,2021-02-27,Income,Others,49683.0,Unknown,Lucknow,xyz123
T7154,U039,2024-09-21,Expense,Food,222.0,Upi,Bangalore,misc
T2699,U092,2023-02-25,Expense,Travel,2553.0,Upi,Lucknow,Doctor consultation
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,xyz123
T12850,U076,2021-09-06,Expense,Rent,3010.0,Upi,Kolkata,No Notes
T6195,U038,2024-11-20,Income,Salary,855881.0,Bank_Transfer,Jaipur,No Notes
T5731,U027,2023-04-02,Expense,Food,2206.0,Bank_Transfer,Unknown,xyz123
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,Jaipur,Gym membership
T7565,U075,2022-01-24,Expense,Travel,4286.0,Bank_Transfer,Hyderabad,No Notes
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,Books
T6239,U150,2021-12-28,Expense,Education,4189.0,Card,Bangalore,Uber ride
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank_Transfer,Lucknow,Coffee
T3127,U023,2021-05-22,Expense,Food,5107.0,Upi,Unknown,Shopping
T4949,U101,2023-01-03,Expense,Food,3865.0,Bank_Transfer,Jaipur,No Notes
T3563,U007,2021-05-05,Expense,Travel,2407.0,Card,Chennai,Internet bill
T10891,U055,2024-08-09,Expense,Food,3085.0,Card,Jaipur,Electricity bill
T10872,U080,2023-02-22,Expense,Health,5252.0,Unknown,Delhi,Online course
T6786,U017,2022-12-15,Expense,Rent,1380.0,Bank_Transfer,Hyderabad,Train ticket
