transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,days_since_last_txn,year_month,monthly_total_spend,category_monthly_spend,user_txn_frequency,rolling_avg_3
T3378,U001,2021-01-07,Expense,Food,4178.0,Card,Kolkata,No Notes,2021,1,7,Thursday,0.0,2021-01,4857.0,4178.0,39,4178.0
T0154,U001,2021-01-26,Expense,Rent,679.0,Bank_Transfer,Pune,No Notes,2021,1,26,Tuesday,19.0,2021-01,4857.0,679.0,39,2428.5
T10542,U001,2021-07-11,Expense,Rent,27587.0,Upi,Chennai,No Notes,2021,7,11,Sunday,166.0,2021-07,27587.0,27587.0,39,10814.666666666666
T4132,U001,2021-10-06,Expense,Utilities,5394.0,Upi,Unknown,...,2021,10,6,Wednesday,87.0,2021-10,24254.0,5394.0,39,11220.0
T12736,U001,2021-10-08,Expense,Education,9376.0,Upi,Mumbai,asdfgh,2021,10,8,Friday,2.0,2021-10,24254.0,9376.0,39,14119.0
T4454,U001,2021-10-26,Expense,Entertainment,9484.0,Cash,Mumbai,No Notes,2021,10,26,Tuesday,18.0,2021-10,24254.0,9484.0,39,8084.666666666667
T8055,U001,2021-12-22,Expense,Entertainment,5385.0,Upi,Lucknow,Online course,2021,12,22,Wednesday,57.0,2021-12,5385.0,5385.0,39,8081.666666666667
T3254,U001,2022-02-12,Expense,Education,5881.0,Upi,Bangalore,asdfgh,2022,2,12,Saturday,52.0,2022-02,9285.0,5881.0,39,6916.666666666667
T3594,U001,2022-02-26,Expense,Food,3404.0,Bank_Transfer,Hyderabad,No Notes,2022,2,26,Saturday,14.0,2022-02,9285.0,3404.0,39,4890.0
T3923,U001,2022-05-18,Expense,Travel,7698.0,Upi,Jaipur,No Notes,2022,5,18,Wednesday,81.0,2022-05,8157.0,8157.0,39,5661.0
T0913,U001,2022-05-25,Expense,Travel,459.0,Upi,Delhi,Movie tickets,2022,5,25,Wednesday,7.0,2022-05,8157.0,8157.0,39,3853.6666666666665
T4149,U001,2022-07-12,Expense,Rent,17529.0,Cash,Ahmedabad,Shopping,2022,7,12,Tuesday,48.0,2022-07,17529.0,17529.0,39,8562.0
T2408,U001,2022-08-15,Expense,Education,7554.0,Bank_Transfer,Jaipur,Uber ride,2022,8,15,Monday,34.0,2022-08,7554.0,7554.0,39,8514.0
T2682,U001,2022-10-08,Expense,Others,9440.0,Card,Pune,Grocery shopping,2022,10,8,Saturday,54.0,2022-10,13366.0,9440.0,39,11507.666666666666
T0464,U001,2022-10-22,Expense,Rent,3926.0,Cash,Ahmedabad,Movie tickets,2022,10,22,Saturday,14.0,2022-10,13366.0,3926.0,39,6973.333333333333
T1167,U001,2023-01-11,Expense,Entertainment,8348.0,Cash,Kolkata,Electricity bill,2023,1,11,Wednesday,81.0,2023-01,8348.0,8348.0,39,7238.0
T6890,U001,2023-02-08,Expense,Food,3885.0,Bank_Transfer,Kolkata,No Notes,2023,2,8,Wednesday,28.0,2023-02,23655.0,11844.0,39,5386.333333333333
T10256,U001,2023-02-16,Expense,Others,8735.0,Upi,Pune,No Notes,2023,2,16,Thursday,8.0,2023-02,23655.0,8735.0,39,6989.333333333333
T9718,U001,2023-02-21,Expense,Food,7959.0,Cash,Delhi,No Notes,2023,2,21,Tuesday,5.0,2023-02,23655.0,11844.0,39,6859.666666666667
T3331,U001,2023-02-22,Expense,Entertainment,3076.0,Card,Delhi,Monthly rent payment,2023,2,22,Wednesday,1.0,2023-02,23655.0,3076.0,39,6590.0
T2593,U001,2023-02-26,Income,Investment,73568.0,Upi,Bangalore,test,2023,2,26,Sunday,4.0,2023-02,23655.0,0.0,39,28201.0
